id,description,adress,date_pub,date_update,price,fee
ad_1917,"PARIS 17ème. AVENUE NIEL *** Vidéo disponible sur demande*** RDC LUMINEUX !!! PROFESSION LIBERALE AUTORISEE !!!  Situé dans un quartier agréable et animé, à proximité des transports (Métro Pereire à 144m) et de tous commerces (Monoprix Courcelles à 200m), dans un immeuble en pierre de taille de standing et sécurisé (digicode, gardienne), cet appartement 2 pièces de 60,03m² loi Carrez / 62,54m² au sol, comprend : une entrée avec des placards, un séjour lumineux (Sud-Est) avec une cheminée et une HSP de 3m10, une grande chambre, une cuisine indépendante aménagée et équipée et une salle d'eau avec un wc et une verrière. Une cave d'environ 5,50m² et une chambre de service de 4,32m² au sol / 1,28m² surface privative au sens Carrez  complètent ce bien. L'exercice d'une profession libérale est autorisé. Une copropriété bien entretenue avec les habitants prestigieux et calmes. Coup de cœur garanti ! Bien proposé par Tatiana ZHUKOVA, agent commercial (RSAC 792059701)",Achat appartement 2 pièces 63 m²Paris 17e 75017 (Courcelles - Wagram),Publiée le 4 déc. 2021,Modifiée le 30 déc. 2021,640 000 €,Honoraires à la charge du vendeur
ad_1454,"Appartement Paris 3 pièce(s) 53 m2. Stéphane Plaza Immobilier vous propose en exclusivité ce très bel appartement coup de coeur de 3 pièces de 53, 89 m2 au sol ( 52,66 m2 carrez) au 4ème étage avec ascenseur d'un immeuble ancien. Il se compose d'une entrée, d'un double séjour avec cuisine entièrement aménagée et équipée, une chambre, une salle d'eau et des wc indépendants. Beaucoup de lumière, belle rénovation, au pied du métro Porte de Clignancourt. Cave en sous sol dont 5.00 % honoraires TTC à la charge de l'acquéreur.<br>Copropriété de 36 lots (Pas de procédure en cours).<br>Charges annuelles : 2196.00 euros.",Achat appartement 3 pièces 53 m²Paris 18e 75018 (Simplon - Poissonniers),Publiée le 16 déc. 2021,Modifiée le 16 déc. 2021,556 500 €,"Honoraires : 5,00% TTC inclus à la charge de l’acquéreur (530 000 € hors honoraires)"
ad_1794,"Vente Appartement 2 pièces de 31m² - 75018 Paris. Proprioo vous propose à la vente cet appartement de 2 pièces de 31 m² localisé Rue de la Charbonnière à Paris 18ᵉ.

Situé au 5ᵉ étage sans ascenseur d'un immeuble de 1949, sécurisé par un digicode, il se compose d’un séjour avec cuisine semi-ouverte, d'une chambre et d’une salle d’eau incluant  un WC.  Il dispose d’un système de chauffage électrique et de doubles vitrages sur l’ensemble des fenêtres.

L'appartement se situe à proximité immédiate de la Bibliothèque de la Goutte d'Or,  mais également du  Marché Saint Pierre, réputé pour ses magasins de tissus. À seulement quelques minutes du quartier  Montmartre, vous trouverez également  de nombreux commerces de proximité.

Pour vos déplacements, Barbès-Rochechouart (Métro 2 et 4) à 4 minutes à pied et Gare du Nord (Grandes Lignes, RER B, Métro 4 et 5) à 6 minutes à pied.

Charges de copropriété : 115 € par mois.
Taxe foncière : 218 € par an

Ce bien est commercialisé par Proprioo. 

Intéressé par ce bien ? Plus d'informations sur le site de Proprioo.",Achat appartement 2 pièces 31 m²Paris 18e 75018 (Barbès - Château Rouge),Publiée le 8 déc. 2021,Modifiée le 28 déc. 2021,305 000 €,Honoraires à la charge du vendeur
ad_1519,"A vendre, en exclusivité, dans le 11e arrondissement, un app. A VENDRE, en exclusivité, à Paris, dans le 11e arrondissement, boulevard Beaumarchais, à deux pas du Marais et de la Place des Vosges et des métros Chemin vert et Bastille, au 1er étage d'un immeuble ancien de bon standing, un grand studio (modulable en 2 pièces) traversant de 31,25m2 loi Carrez, en très bon état (matériaux de qualité) et comprenant : une entrée avec cuisine US aménagée et équipée, une belle pièce à vivre avec deux fenêtres, une salle d'eau avec wc et lave linge. Très lumineux, parquet, double vitrage et fibre optique. Une cave complète ce bien.",Achat appartement 2 pièces 31 m²Paris 11e 75011 (République - Saint-Ambroise),Publiée le 15 déc. 2021,Modifiée le 29 déc. 2021,380 000 €,"Honoraires : 4,40% TTC inclus à la charge de l’acquéreur (364 000 € hors honoraires)"
ad_1779,"Gambetta 2 pièce(s) 40 m2. Rue d'Annam, à quelques pas de la rue des Pyrénées, à l'écart au calme, dans une résidence bien entretenue avec gardien appartement 2 Pièces 40m² environ, comprenant entrée, séjour cuisine séparée (possibilité d'ouvrir) une chambre, salle de bains et wc séparés. Le tout donnant sur jardin de copropriété. Fort potentiel, appartement calme et bien orienté SUD-EST. Cave en sous sol  A ne pas manquer. Travaux à prévoir dont 5.14 % honoraires TTC à la charge de l'acquéreur.<br>Copropriété de 378 lots (Pas de procédure en cours).<br>Charges annuelles : 2040.00 euros.",Achat appartement 2 pièces 40 m²Paris 20e 75020 (Gambetta),Publiée le 24 nov. 2021,Modifiée le 29 déc. 2021,368 000 €,"Honoraires : 5,14% TTC inclus à la charge de l’acquéreur (350 000 € hors honoraires)"
ad_1185,"Appartement Paris 3 pièce(s) 51m² à rénover. RUE CHEVERT. Dans un immeuble ancien bien entretenu, au 1er étage avec ascenseur.. Appartement 3 pièces de 51,05m² en loi Carrez comprenant: entrée, séjour, cuisine indépendante, deux chambres, salle d'eau, water closet indépendant.. Appartement avec un plan modulable, exposé Sud-Est sur une rue calme. . Belle hauteur sous plafond, excellent potentiel après rénovation. (parquet, moulures, cheminée dans chaque pièce). Cave en sous-sol. Exclusivité Orpi Champ de Mars.",Achat appartement 3 pièces 51 m²Paris 7e 75007 (Champ de Mars),Publiée le 28 déc. 2021,,676 000 €,"Honoraires : 4,00% TTC inclus à la charge de l’acquéreur (650 000 € hors honoraires)"
ad_206,"Appartement 2 pièces de 44m² avec balcon | Rue du Département | Paris 18. Liberkeys, l’agence immobilière améliorée pour une commission fixe de 6 500€, vous propose cet appartement neuf 2 pièces de 44m² avec balcon, situé Rue du Département au 5ème étage sur 7 d'une copropriété très bien entretenue avec ascenseur.
En exclusivité chez Liberkeys.
Dans une résidence récente (2020), cet appartement en parfait état se compose d'une entrée avec de grands placards, d'une belle pièce à vivre très lumineuse exposée plein Sud de 24m² avec cuisine ouverte semi-équipée, d'un balcon de 2m², et d'une chambre de 13m² donnant sur une salle d'eau avec wc (accès possible depuis le séjour).
Le bien est complété par une cave très saine.
Cet appartement très lumineux vous séduira par son plan optimisé sans perte de place et son balcon exposé plein Sud.
Les plus :
- Appartement neuf
- Très lumineux
- Résidence récente
- Plan optimisé
- Étage élevé avec ascenseur
- Balcon
- Cave
Charges : 550€/trimestre comprenant espace communs, ascenseur, chauffage et eau.
Chauffage gaz collectif.
Double vitrage.
Interphone et visiophone.
Sur l'immeuble :
Construit en 2020. Copropriété d'environ 35 appartements.
La copropriété comprend un seul bâtiment.
Les espaces communs comprennent un espace sécurisé pour les vélos.
Sur la localisation :
Situé dans une rue calme.
Situé à 300m du métro la Chapelle (ligne 2) et à 450m de Marx Dormoy (ligne 12).
***** Ce bien vous plaît ? Visitez-le virtuellement en 3D sur le site Liberkeys puis appelez l'agent Liberkeys pour échanger sur ce bien.
Liberkeys, votre agence immobilière en mieux. Humaine, transparente et réactive pour les vendeurs et acheteurs. Et au prix juste : 6 500€ de frais inclus dans le prix affiché.",Achat appartement 2 pièces 44 m²Paris 18e 75018 (La Chapelle - Marx Dormoy),Publiée le 22 déc. 2021,Modifiée le 24 déc. 2021,430 000 €,Honoraires à la charge du vendeur
ad_287,"Duplex - Dernier étage - Paris Vème - Panthéon: Au 5ème, 6ème  étage et dernier étage avec ascenseur d'un immeuble de la fin du 18ème siècle très bien entretenu situé rue Saint-Jacques , un duplex 4 pièces de 66m2 Carrez et 86m2 au sol comprenant :  Au premier niveau : une galerie d'entrée, une cuisine américaine, une grande pièce de vie traversante incluant la salle à manger et un séjour avec une vue imprenable  sur le Panthéon, une chambre avec sa salle d'eau et un WC.  Au deuxième niveau : une grande chambre, une salle de bains avec WC et une buanderie.  Appartement traversant, calme et lumineux (exposition est-ouest). Emplacement idéal. Proche des commerces, transports, grandes écoles et universités. A deux pas du jardin du Luxembourg et du Panthéon. Sectorisation scolaire : Lavoisier",Achat duplex 4 pièces 86 m²Paris 5e 75005 (Val de Grâce),Publiée le 9 nov. 2021,Modifiée le 29 déc. 2021,1 090 000 €,"Honoraires : 3,02% TTC inclus à la charge de l’acquéreur (1 058 000 € hors honoraires)"
ad_3,"Paris 06 -  Vavin/Montparnasse - Appartement 2p - Terrasses. Paris 06 -  Vavin/Montparnasse - Perché au dernier étage dans un lieu emblématique de Montparnasse, ce joli loft atypique en excellent état, sur deux niveaux profite de deux terrasses avec vues panoramiques : Tour Eiffel, Sacré Cœur,... Cuisine équipée ouverte sur séjour et de plain-pied avec la première terrasse, 1 chambre avec salle d'eau. Loft agencé comme un yatch en plein ciel ! Calme, lumière. Cave. Tous transports, commerces. Proximité du Jardin du Luxembourg.
L'ESPACE EXTÉRIEUR : les terrasses sont de vrais lieux de vie qui prolongent confortablement l'agencement de ce loft.
TERRASSES ET JARDINS - RIVE-GAUCHE - <span class=""showPhoneNumber"" data-phone=""06 09 11 42 47"">Voir le téléphone</span> ",Achat appartement 2 pièces 20 m²Paris 6e 75006 (Notre Dame des Champs),Publiée le 9 nov. 2021,Modifiée le 27 déc. 2021,795 000 €,"Honoraires : 4,88% TTC inclus à la charge de l’acquéreur (758 000 € hors honoraires)"
ad_1769,"2 pièces excellent état avec balcon 7 m2 et dépendance à saisir !. L'agence Guy Hoquet Paris 15 Saint-Charles  vous propose en exclusivité un beau deux pièces situé à proximité des commerces et transports. En excellent état, agencé avec goût , il saura vous séduire. <br>Au 3e étage avec ascenseur d'un immeuble sécurisé avec des parties communes fraichement refaites, l'appartement se compose d'une entrée avec WC, d'une agréable pièce de vie avec cuisine équipée et aménagée,  ouvrant sur un balcon filant de 7 m2. Belle chambre et salle de bain refaite cette année. Nombreux rangements. Une buanderie de 6,50 m2 (eau, électricité) sur le palier complète cet appartement. Charge 150 euros par mois comprenant entretien de l'immeuble et ascenseur. DPE D.<br>Un emplacement de parking au même étage  (si si !) est proposé en option pour 30.000 euros.",Achat appartement 2 pièces 52 m²Paris 15e 75015 (Alleray - Procession),Publiée le 9 déc. 2021,Modifiée le 17 déc. 2021,450 000 €,Honoraires à la charge du vendeur
