ad_id,value
ad_1917,"62,54 m²"
ad_1917,2 pièces
ad_1917,1 chambre
ad_1917,Chauffage : Individuel  Gaz
ad_1917,1 cave
ad_1917,1 cheminée
ad_1917,1 salle d’eau
ad_1917,1 WC
ad_1917,Rez-de-chaussée
ad_1917,Construit en 1925
ad_1917,Ascenseur
ad_1917,Digicode
ad_1917,Interphone
ad_1454,53 m²
ad_1454,3 pièces
ad_1454,1 chambre
ad_1454,Exposé Ouest
ad_1454,Cave
ad_1454,1 salle d’eau
ad_1454,1 WC
ad_1454,Fibre : déployée*
ad_1454,Disponible le 15 mars 2022
ad_1454,6 étages
ad_1454,Construit en 1860
ad_1454,Ascenseur
ad_1794,31 m²
ad_1794,2 pièces
ad_1794,1 chambre
ad_1794,Chauffage : Electric
ad_1794,1 salle d’eau
ad_1794,1 WC
ad_1794,Fibre : déployée*
ad_1794,Dernier étage (sur 5)
ad_1794,Construit en 1949
ad_1794,Digicode
ad_1519,"31,25 m²"
ad_1519,2 pièces
ad_1519,1 chambre
ad_1519,Exposé Est
ad_1519,Cave
ad_1519,1 salle d’eau
ad_1519,Fibre : déployée*
ad_1519,1er étage (sur 5)
ad_1519,Construit en 1870
ad_1519,Ascenseur
ad_1519,Interphone
ad_1779,40 m²
ad_1779,2 pièces
ad_1779,1 chambre
ad_1779,Récent
ad_1779,Cave
ad_1779,1 salle de bain
ad_1779,1 WC
ad_1779,Calme
ad_1779,1er étage (sur 8)
ad_1779,Construit en 1969
ad_1779,Ascenseur
ad_1779,Digicode
ad_1779,Interphone
ad_1779,Gardien
ad_1185,"51,05 m²"
ad_1185,3 pièces
ad_1185,2 chambres
ad_1185,1 balcon
ad_1185,Chauffage : individuel
ad_1185,1 salle de bain
ad_1185,Fibre : déployée*
ad_1185,1er étage (sur 6)
ad_1185,Ascenseur
ad_206,44 m²
ad_206,2 pièces
ad_206,1 chambre
ad_206,Balcon
ad_206,Cave
ad_206,1 salle d’eau
ad_206,1 WC
ad_206,5e étage (sur 7)
ad_206,Ascenseur
ad_287,86 m²
ad_287,4 pièces
ad_287,2 chambres
ad_287,Duplex
ad_287,1 salle de bain
ad_287,2 salles d’eau
ad_287,2 WC
ad_287,Dernier étage (sur 5)
ad_287,Ascenseur
ad_3,20 m²
ad_3,2 pièces
ad_3,1 chambre
ad_3,Terrasse
ad_3,Exposé Sud
ad_3,Cave
ad_3,1 salle d’eau
ad_3,1 WC
ad_3,Fibre : déployée*
ad_3,Dernier étage (sur 5)
ad_1769,52 m²
ad_1769,2 pièces
ad_1769,1 chambre
ad_1769,1 balcon
ad_1769,Cave
ad_1769,1 salle de bain
ad_1769,1 WC
ad_1769,Fibre : déployée*
ad_1769,5 étages
ad_1769,Construit en 1950
ad_1769,Ascenseur
ad_1769,Gardien
ad_196,40 m²
ad_196,2 pièces
ad_196,1 chambre
ad_196,Exposé Nord Sud
ad_196,Chauffage : gaz individuel
ad_196,Cave
ad_196,1 salle d’eau
ad_196,Rez-de-chaussée
ad_196,Interphone
ad_996,"70,44 m²"
ad_996,3 pièces
ad_996,2 chambres
ad_996,Exposé Est
ad_996,Cave
ad_996,1 salle de bain
ad_996,WC séparés
ad_996,1 parking intérieur
ad_996,1 place de parking
ad_996,19e étage
ad_996,Ascenseur
ad_996,Digicode
ad_996,Interphone
ad_996,Gardien
ad_1475,39 m²
ad_1475,2 pièces
ad_1475,1 chambre
ad_1475,1 terrasse
ad_1475,1 salle d’eau
ad_1475,1 WC
ad_1475,1er étage (sur 6)
ad_1475,Construit en 1900
ad_2035,"57,30 m²"
ad_2035,3 pièces
ad_2035,2 chambres
ad_2035,1 salle de bain
ad_2035,1 WC
ad_2035,Fibre : déployée*
ad_2035,Calme
ad_2035,Construit en 1890
ad_1704,"54,78 m²"
ad_1704,3 pièces
ad_1704,2 chambres
ad_1704,Chauffage : individuel 
ad_1704,1 salle de bain
ad_1704,1 WC
ad_1704,4 étages
ad_1704,Construit en 1860
ad_1704,Digicode
ad_1096,59 m²
ad_1096,2 pièces
ad_1096,1 chambre
ad_1096,Exposé Est
ad_1096,Cave
ad_1096,1 salle de bain
ad_1096,1 WC
ad_1096,2e étage (sur 9)
ad_1096,Ascenseur
ad_943,"34,50 m²"
ad_943,2 pièces
ad_943,1 chambre
ad_943,Cave
ad_943,1 salle d’eau
ad_943,1 WC
ad_943,Fibre : déployée*
ad_943,Calme
ad_943,6 étages
ad_730,44 m²
ad_730,2 pièces
ad_730,1 chambre
ad_730,Cave
ad_730,1 salle d’eau
ad_730,1 WC
ad_730,Fibre : déployée*
ad_730,Dernier étage (sur 5)
ad_730,Construit en 1700
ad_730,Ascenseur
ad_730,Interphone
ad_1803,58 m²
ad_1803,4 pièces
ad_1803,2 chambres
ad_1803,1 salle de bain
ad_1803,1 WC
ad_1803,Fibre : déployée*
ad_1803,Calme
ad_1803,Rez-de-chaussée
ad_419,31 m²
ad_419,2 pièces
ad_419,1 chambre
ad_419,Exposé Sud
ad_419,1 salle de bain
ad_419,1 salle d’eau
ad_419,1 WC
ad_419,Fibre : déployée*
ad_419,Calme
ad_419,6 étages
ad_1604,26 m²
ad_1604,1 pièce
ad_1604,Travaux à prévoir
ad_1604,Exposé Sud Sud Est
