name,number,ad_id
Bar,4,ad_1917
Restaurant,54,ad_1917
Monument historique,5,ad_1917
Théâtre,1,ad_1917
"Parc, Jardin et Square",2,ad_1917
Terrain et Salle de sport,4,ad_1917
Banque,11,ad_1917
Boucherie,6,ad_1917
Boulangerie,9,ad_1917
Bureau de poste,2,ad_1917
Marché de quartier,1,ad_1917
Presse et Tabac,9,ad_1917
Supérette,6,ad_1917
Supermarché et Hypermarché,9,ad_1917
Collège,2,ad_1917
Ecole maternelle,1,ad_1917
Ecole primaire,2,ad_1917
Enseignement supérieur,1,ad_1917
Lycée,4,ad_1917
Crèche,2,ad_1917
Autolib',6,ad_1917
Location de vélo,9,ad_1917
Parking,2,ad_1917
Station de taxi,3,ad_1917
Station service,2,ad_1917
Vélib',9,ad_1917
Médecin généraliste,75,ad_1917
Médecin spécialiste,152,ad_1917
Pharmacie,17,ad_1917
Bar,4,ad_1454
Restaurant,12,ad_1454
Monument historique,1,ad_1454
"Parc, Jardin et Square",2,ad_1454
Salle de musculation / cardiotraining,1,ad_1454
Terrain et Salle de sport,4,ad_1454
Banque,1,ad_1454
Boulangerie,3,ad_1454
Bureau de poste,1,ad_1454
Presse et Tabac,1,ad_1454
Supérette,2,ad_1454
Supermarché et Hypermarché,3,ad_1454
Collège,3,ad_1454
Ecole maternelle,1,ad_1454
Ecole primaire,4,ad_1454
Crèche,3,ad_1454
Autolib',1,ad_1454
Location de vélo,3,ad_1454
Parking,1,ad_1454
Vélib',3,ad_1454
Médecin généraliste,3,ad_1454
Médecin spécialiste,5,ad_1454
Pharmacie,5,ad_1454
Bar,10,ad_1794
Restaurant,25,ad_1794
Monument historique,1,ad_1794
Théâtre,2,ad_1794
"Parc, Jardin et Square",3,ad_1794
Terrain et Salle de sport,4,ad_1794
Banque,1,ad_1794
Boucherie,7,ad_1794
Boulangerie,9,ad_1794
Bureau de poste,2,ad_1794
Marché de quartier,1,ad_1794
Presse et Tabac,3,ad_1794
Supérette,7,ad_1794
Supermarché et Hypermarché,9,ad_1794
Collège,2,ad_1794
Ecole maternelle,6,ad_1794
Ecole primaire,6,ad_1794
Enseignement supérieur,1,ad_1794
Crèche,9,ad_1794
Ludothèque,1,ad_1794
Autolib',5,ad_1794
Location de vélo,9,ad_1794
Station de taxi,2,ad_1794
Vélib',9,ad_1794
Médecin généraliste,18,ad_1794
Médecin spécialiste,2,ad_1794
Pharmacie,16,ad_1794
Bar,26,ad_1519
Restaurant,73,ad_1519
Monument historique,12,ad_1519
Théâtre,3,ad_1519
"Parc, Jardin et Square",5,ad_1519
Salle de musculation / cardiotraining,1,ad_1519
Terrain et Salle de sport,10,ad_1519
Banque,18,ad_1519
Boucherie,4,ad_1519
Boulangerie,18,ad_1519
Bureau de poste,2,ad_1519
Marché de quartier,1,ad_1519
Presse et Tabac,4,ad_1519
Supérette,14,ad_1519
Supermarché et Hypermarché,18,ad_1519
Collège,1,ad_1519
Ecole maternelle,3,ad_1519
Ecole primaire,5,ad_1519
Enseignement supérieur,7,ad_1519
Crèche,6,ad_1519
Autolib',7,ad_1519
Location de vélo,16,ad_1519
Parking,1,ad_1519
Station de taxi,1,ad_1519
Vélib',16,ad_1519
Hôpital,1,ad_1519
Médecin généraliste,43,ad_1519
Médecin spécialiste,31,ad_1519
Pharmacie,20,ad_1519
Bar,13,ad_1779
Restaurant,32,ad_1779
Théâtre,3,ad_1779
Cinéma,1,ad_1779
"Parc, Jardin et Square",3,ad_1779
Terrain et Salle de sport,15,ad_1779
Banque,12,ad_1779
Boucherie,5,ad_1779
Boulangerie,16,ad_1779
Bureau de poste,3,ad_1779
Marché de quartier,2,ad_1779
Presse et Tabac,2,ad_1779
Supérette,5,ad_1779
Supermarché et Hypermarché,12,ad_1779
Collège,8,ad_1779
Ecole maternelle,6,ad_1779
Ecole primaire,10,ad_1779
Lycée,4,ad_1779
Crèche,12,ad_1779
Ludothèque,2,ad_1779
Autolib',9,ad_1779
Location de vélo,12,ad_1779
Station de taxi,3,ad_1779
Station service,8,ad_1779
Vélib',15,ad_1779
Hôpital,1,ad_1779
Médecin généraliste,33,ad_1779
Médecin spécialiste,40,ad_1779
Pharmacie,13,ad_1779
Bar,4,ad_206
Restaurant,19,ad_206
Monument historique,2,ad_206
Théâtre,1,ad_206
"Parc, Jardin et Square",6,ad_206
Terrain et Salle de sport,6,ad_206
Banque,6,ad_206
Boucherie,2,ad_206
Boulangerie,7,ad_206
Bureau de poste,2,ad_206
Marché de quartier,1,ad_206
Presse et Tabac,3,ad_206
Supérette,5,ad_206
Supermarché et Hypermarché,7,ad_206
Collège,8,ad_206
Ecole maternelle,3,ad_206
Ecole primaire,9,ad_206
Enseignement supérieur,2,ad_206
Lycée,2,ad_206
Crèche,3,ad_206
Ludothèque,2,ad_206
Autolib',3,ad_206
Location de vélo,7,ad_206
Vélib',6,ad_206
Médecin généraliste,20,ad_206
Médecin spécialiste,7,ad_206
Pharmacie,11,ad_206
Bar,6,ad_3
Restaurant,17,ad_3
Monument historique,7,ad_3
Théâtre,1,ad_3
Cinéma,4,ad_3
"Parc, Jardin et Square",1,ad_3
Terrain et Salle de sport,6,ad_3
Banque,4,ad_3
Boulangerie,7,ad_3
Presse et Tabac,5,ad_3
Supérette,1,ad_3
Supermarché et Hypermarché,1,ad_3
Collège,3,ad_3
Ecole primaire,3,ad_3
Enseignement supérieur,9,ad_3
Lycée,3,ad_3
Autolib',5,ad_3
Location de vélo,6,ad_3
