type,num_line,ad_id
bus,"30""",ad_1917
bus,"31""",ad_1917
bus,"43""",ad_1917
bus,"84""",ad_1917
bus,"92""",ad_1917
bus,"93""",ad_1917
bus,T3b,ad_1454
bus,"56""",ad_1454
bus,"60""",ad_1454
bus,137,ad_1454
bus,166,ad_1454
bus,302,ad_1454
bus,341,ad_1454
metro,"12""",ad_1794
bus,"31""",ad_1794
bus,"56""",ad_1794
bus,"60""",ad_1794
bus,"85""",ad_1794
bus,302,ad_1794
metro,"11""",ad_1519
bus,"20""",ad_1519
bus,"46""",ad_1519
bus,"56""",ad_1519
bus,"65""",ad_1519
bus,"69""",ad_1519
bus,"75""",ad_1519
bus,"96""",ad_1519
bus,T3b,ad_1779
bus,"26""",ad_1779
bus,"57""",ad_1779
bus,"60""",ad_1779
bus,"61""",ad_1779
bus,"64""",ad_1779
bus,"69""",ad_1779
bus,"76""",ad_1779
bus,"96""",ad_1779
bus,102,ad_1779
bus,351,ad_1779
bus,501,ad_1779
metro,"12""",ad_206
bus,"35""",ad_206
bus,"48""",ad_206
bus,"60""",ad_206
bus,"65""",ad_206
bus,302,ad_206
bus,350,ad_206
bus,519,ad_206
bus,"38""",ad_3
bus,"58""",ad_3
bus,"68""",ad_3
bus,"82""",ad_3
bus,"83""",ad_3
bus,"89""",ad_3
bus,"91""",ad_3
bus,"94""",ad_3
bus,"95""",ad_3
bus,"96""",ad_3
metro,"12""",ad_1769
bus,"39""",ad_1769
bus,"62""",ad_1769
bus,"70""",ad_1769
bus,"80""",ad_1769
bus,"88""",ad_1769
bus,"89""",ad_1769
bus,"95""",ad_1769
metro,"12""",ad_196
bus,"35""",ad_196
bus,"48""",ad_196
bus,"60""",ad_196
bus,"65""",ad_196
bus,302,ad_196
bus,350,ad_196
bus,519,ad_196
bus,"27""",ad_996
bus,"62""",ad_996
bus,"64""",ad_996
bus,"89""",ad_996
bus,132,ad_996
bus,325,ad_996
metro,"12""",ad_1475
bus,"31""",ad_1475
bus,"56""",ad_1475
bus,"60""",ad_1475
bus,"80""",ad_1475
bus,"85""",ad_1475
bus,"95""",ad_1475
bus,137,ad_1475
bus,255,ad_1475
bus,"46""",ad_2035
bus,"56""",ad_2035
bus,"61""",ad_2035
bus,"69""",ad_2035
bus,"76""",ad_2035
bus,"46""",ad_943
bus,"75""",ad_943
bus,"20""",ad_730
bus,"21""",ad_730
bus,"27""",ad_730
bus,"29""",ad_730
bus,"39""",ad_730
bus,"42""",ad_730
bus,"48""",ad_730
bus,"52""",ad_730
bus,"67""",ad_730
bus,"68""",ad_730
bus,"74""",ad_730
bus,"81""",ad_730
bus,"85""",ad_730
bus,"95""",ad_730
metro,"13""",ad_419
bus,"30""",ad_419
bus,"31""",ad_419
bus,"54""",ad_419
bus,"60""",ad_419
bus,"74""",ad_419
bus,"80""",ad_419
bus,"81""",ad_419
bus,"95""",ad_419
bus,518,ad_419
bus,T3b,ad_1604
bus,"48""",ad_1604
bus,"60""",ad_1604
bus,"75""",ad_1604
bus,151,ad_1604
bus,"24""",ad_810
bus,"29""",ad_810
bus,"46""",ad_810
bus,"57""",ad_810
bus,"64""",ad_810
bus,"87""",ad_810
bus,"22""",ad_1149
bus,"32""",ad_1149
bus,"52""",ad_1149
bus,"63""",ad_1149
bus,"72""",ad_1149
bus,241,ad_1149
bus,244,ad_1149
bus,T3b,ad_1649
bus,"26""",ad_1649
bus,"57""",ad_1649
bus,"60""",ad_1649
bus,"61""",ad_1649
bus,"64""",ad_1649
bus,"69""",ad_1649
bus,"76""",ad_1649
bus,"96""",ad_1649
bus,102,ad_1649
bus,351,ad_1649
bus,501,ad_1649
bus,"30""",ad_1879
bus,"31""",ad_1879
bus,"43""",ad_1879
bus,"84""",ad_1879
bus,"92""",ad_1879
bus,"93""",ad_1879
bus,T3b,ad_847
bus,"26""",ad_847
bus,"57""",ad_847
bus,"60""",ad_847
bus,"61""",ad_847
bus,"64""",ad_847
bus,"69""",ad_847
bus,"76""",ad_847
bus,"96""",ad_847
bus,102,ad_847
bus,351,ad_847
bus,501,ad_847
bus,"22""",ad_1414
bus,"28""",ad_1414
bus,"32""",ad_1414
bus,"43""",ad_1414
bus,"52""",ad_1414
bus,"73""",ad_1414
bus,"80""",ad_1414
bus,"83""",ad_1414
bus,"84""",ad_1414
bus,"93""",ad_1414
bus,T3b,ad_1369
bus,"26""",ad_1369
bus,"57""",ad_1369
bus,"60""",ad_1369
bus,"61""",ad_1369
bus,"64""",ad_1369
bus,"69""",ad_1369
bus,"76""",ad_1369
bus,"96""",ad_1369
bus,102,ad_1369
bus,351,ad_1369
bus,501,ad_1369
metro,"12""",ad_964
bus,"30""",ad_964
bus,"54""",ad_964
bus,"67""",ad_964
bus,"74""",ad_964
bus,"80""",ad_964
bus,"85""",ad_964
bus,"95""",ad_964
metro,"13""",ad_1460
bus,"24""",ad_1460
bus,"28""",ad_1460
bus,"32""",ad_1460
bus,"42""",ad_1460
bus,"72""",ad_1460
bus,"73""",ad_1460
bus,"80""",ad_1460
bus,"83""",ad_1460
bus,"92""",ad_1460
bus,"93""",ad_1460
metro,"11""",ad_1924
bus,"38""",ad_1924
bus,"47""",ad_1924
bus,"58""",ad_1924
bus,"67""",ad_1924
bus,"69""",ad_1924
bus,"70""",ad_1924
bus,"72""",ad_1924
bus,"74""",ad_1924
bus,"75""",ad_1924
bus,"76""",ad_1924
bus,"85""",ad_1924
bus,"96""",ad_1924
bus,T3a,ad_1365
metro,"13""",ad_1365
bus,"58""",ad_1365
bus,"62""",ad_1365
bus,"95""",ad_1365
bus,191,ad_1365
bus,"20""",ad_620
bus,"30""",ad_620
bus,"31""",ad_620
bus,"32""",ad_620
bus,"35""",ad_620
bus,"38""",ad_620
bus,"39""",ad_620
bus,"46""",ad_620
bus,"48""",ad_620
bus,"56""",ad_620
bus,"65""",ad_620
bus,350,ad_620
metro,"13""",ad_870
bus,"28""",ad_870
bus,"58""",ad_870
bus,"62""",ad_870
bus,"88""",ad_870
bus,"T2""",ad_1428
bus,T3a,ad_1428
metro,"12""",ad_1428
bus,"39""",ad_1428
bus,"42""",ad_1428
bus,"62""",ad_1428
bus,"80""",ad_1428
bus,126,ad_1428
bus,169,ad_1428
bus,189,ad_1428
bus,290,ad_1428
bus,323,ad_1428
metro,"10""",ad_1505
bus,"38""",ad_1505
bus,"58""",ad_1505
bus,"63""",ad_1505
bus,"70""",ad_1505
bus,"82""",ad_1505
bus,"83""",ad_1505
bus,"84""",ad_1505
bus,"85""",ad_1505
bus,"86""",ad_1505
bus,"87""",ad_1505
bus,"89""",ad_1505
bus,"96""",ad_1505
bus,T3b,ad_1109
metro,"13""",ad_1109
metro,"14""",ad_1109
bus,"54""",ad_1109
bus,"66""",ad_1109
bus,"74""",ad_1109
bus,"81""",ad_1109
bus,138,ad_1109
bus,173,ad_1109
bus,341,ad_1109
bus,518,ad_1109
bus,"24""",ad_888
bus,"27""",ad_888
bus,"47""",ad_888
bus,"57""",ad_888
bus,"61""",ad_888
bus,"63""",ad_888
bus,"67""",ad_888
bus,"89""",ad_888
bus,"91""",ad_888
bus,"22""",ad_1758
bus,"32""",ad_1758
bus,"52""",ad_1758
bus,"63""",ad_1758
bus,"72""",ad_1758
bus,241,ad_1758
bus,244,ad_1758
bus,"T2""",ad_2065
bus,T3a,ad_2065
metro,"12""",ad_2065
bus,"39""",ad_2065
bus,"42""",ad_2065
bus,"62""",ad_2065
bus,"80""",ad_2065
bus,126,ad_2065
bus,169,ad_2065
bus,189,ad_2065
bus,290,ad_2065
bus,323,ad_2065
bus,"46""",ad_1956
bus,"75""",ad_1956
metro,"10""",ad_451
bus,"22""",ad_451
bus,"32""",ad_451
bus,"52""",ad_451
bus,"62""",ad_451
bus,"72""",ad_451
bus,123,ad_451
bus,175,ad_451
bus,189,ad_451
bus,241,ad_451
bus,289,ad_451
bus,"26""",ad_254
bus,"30""",ad_254
bus,"42""",ad_254
bus,"43""",ad_254
bus,"48""",ad_254
bus,"54""",ad_254
bus,"67""",ad_254
bus,"85""",ad_254
bus,T3b,ad_1901
bus,"26""",ad_1901
bus,"57""",ad_1901
bus,"60""",ad_1901
bus,"61""",ad_1901
bus,"64""",ad_1901
bus,"69""",ad_1901
bus,"76""",ad_1901
bus,"96""",ad_1901
bus,102,ad_1901
bus,351,ad_1901
bus,501,ad_1901
metro,"12""",ad_1031
bus,"26""",ad_1031
bus,"30""",ad_1031
bus,"32""",ad_1031
bus,"43""",ad_1031
bus,"54""",ad_1031
bus,"68""",ad_1031
bus,"74""",ad_1031
bus,"81""",ad_1031
bus,"20""",ad_1661
bus,"29""",ad_1661
bus,"46""",ad_1661
bus,"61""",ad_1661
bus,"65""",ad_1661
bus,"69""",ad_1661
bus,"76""",ad_1661
bus,"86""",ad_1661
bus,"T2""",ad_711
bus,T3a,ad_711
metro,"12""",ad_711
bus,"39""",ad_711
bus,"42""",ad_711
bus,"62""",ad_711
bus,"80""",ad_711
bus,126,ad_711
bus,169,ad_711
bus,189,ad_711
bus,290,ad_711
bus,323,ad_711
metro,"10""",ad_754
bus,"22""",ad_754
bus,"32""",ad_754
bus,"52""",ad_754
bus,"62""",ad_754
bus,"70""",ad_754
bus,"72""",ad_754
bus,123,ad_754
bus,241,ad_754
bus,"22""",ad_1863
bus,"30""",ad_1863
bus,"32""",ad_1863
bus,"52""",ad_1863
bus,"63""",ad_1863
bus,"72""",ad_1863
bus,"73""",ad_1863
bus,"82""",ad_1863
bus,"92""",ad_1863
bus,T3b,ad_583
metro,"12""",ad_583
bus,"35""",ad_583
bus,"54""",ad_583
bus,"60""",ad_583
bus,"65""",ad_583
bus,153,ad_583
bus,166,ad_583
bus,239,ad_583
bus,252,ad_583
bus,302,ad_583
bus,350,ad_583
bus,519,ad_583
bus,"26""",ad_131
bus,"30""",ad_131
bus,"42""",ad_131
bus,"43""",ad_131
bus,"48""",ad_131
bus,"54""",ad_131
bus,"67""",ad_131
bus,"85""",ad_131
metro,"12""",ad_1790
bus,"31""",ad_1790
bus,"56""",ad_1790
bus,"60""",ad_1790
bus,"85""",ad_1790
bus,302,ad_1790
bus,T3b,ad_1665
bus,"26""",ad_1665
bus,"57""",ad_1665
bus,"60""",ad_1665
bus,"61""",ad_1665
bus,"64""",ad_1665
bus,"69""",ad_1665
bus,"76""",ad_1665
bus,"96""",ad_1665
bus,102,ad_1665
bus,351,ad_1665
bus,501,ad_1665
bus,"29""",ad_1888
bus,"46""",ad_1888
bus,"56""",ad_1888
bus,"64""",ad_1888
bus,112,ad_1888
bus,114,ad_1888
bus,115,ad_1888
bus,118,ad_1888
bus,124,ad_1888
bus,210,ad_1888
bus,318,ad_1888
bus,325,ad_1888
